"","siteID","plotID","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha"
"1","DELA","DELA_001",400,12089.3604132202,30.2234010330506,302.234010330506,142.049984855338
"2","DELA","DELA_002",400,4045.52630950926,10.1138157737731,101.138157737731,47.5349341367338
"3","DELA","DELA_003",400,11896.359375489,29.7408984387225,297.408984387225,139.782222661996
"4","DELA","DELA_004",400,5569.43692748919,13.923592318723,139.23592318723,65.440883897998
"5","DELA","DELA_005",400,4197.18390349774,10.4929597587443,104.929597587443,49.3169108660984
"6","DELA","DELA_006",400,11693.3362323843,29.2333405809607,292.333405809607,137.396700730515
"7","DELA","DELA_008",400,3070.39975780534,7.67599939451335,76.7599939451335,36.0771971542127
"8","DELA","DELA_009",400,5583.56596285446,13.9589149071362,139.589149071362,65.6069000635399
"9","DELA","DELA_011",400,6411.80440532774,16.0295110133194,160.295110133194,75.3387017626009
"10","DELA","DELA_012",400,8049.13820526284,20.1228455131571,201.228455131571,94.5773739118384
"11","DELA","DELA_013",400,9929.31362646757,24.8232840661689,248.232840661689,116.669435110994
"12","DELA","DELA_014",400,13785.5670536485,34.4639176341212,344.639176341212,161.98041288037
"13","DELA","DELA_015",400,10284.7846282957,25.7119615707391,257.119615707391,120.846219382474
"14","DELA","DELA_016",400,5863.08264925752,14.6577066231438,146.577066231438,68.8912211287759
"15","DELA","DELA_017",400,18347.5163190708,45.868790797677,458.68790797677,215.583316749082
"16","DELA","DELA_018",400,3109.23233101267,7.77308082753168,77.7308082753168,36.5334798893989
"17","DELA","DELA_020",400,3701.39833139788,9.25349582849469,92.5349582849469,43.4914303939251
"18","DELA","DELA_021",400,4425.57497810202,11.0639374452551,110.639374452551,52.0005059926988
"19","DELA","DELA_022",400,6648.03063097759,16.620076577444,166.20076577444,78.1143599139866
"20","DELA","DELA_023",400,8703.92114261677,21.7598028565419,217.598028565419,102.271073425747
"21","DELA","DELA_037",800,4962.33579567639,6.20291974459549,62.0291974459549,29.1537227995988
"22","DELA","DELA_038",800,8872.91097073527,11.0911387134191,110.911387134191,52.1283519530697
"23","DELA","DELA_039",800,14808.2827958565,18.5103534948206,185.103534948206,86.9986614256569
"24","DELA","DELA_041",800,8767.22078380104,10.9590259797513,109.590259797513,51.5074221048311
"25","DELA","DELA_042",800,7387.5232662696,9.234404082837,92.34404082837,43.4016991893339
"26","DELA","DELA_043",800,9231.69654917611,11.5396206864701,115.396206864701,54.2362172264097
"27","DELA","DELA_044",800,11083.7891524144,13.854736440518,138.54736440518,65.1172612704348
"28","DELA","DELA_045",400,13232.3326921048,33.080831730262,330.80831730262,155.479909132231
"29","DELA","DELA_046",800,10628.9594153975,13.2861992692468,132.861992692468,62.44513656546
"30","DELA","DELA_047",800,10995.4059590509,13.7442574488137,137.442574488137,64.5980100094243
"31","DELA","DELA_048",800,17284.9184714899,21.6061480893624,216.061480893624,101.548896020003
"32","DELA","DELA_049",800,27076.3567379271,33.8454459224088,338.454459224088,159.073595835321
"33","DELA","DELA_050",800,12533.1319466553,15.6664149333192,156.664149333192,73.6321501866001
"34","DELA","DELA_051",800,11510.8750739558,14.3885938424447,143.885938424447,67.62639105949
"35","DELA","DELA_052",800,18681.4910604475,23.3518638255593,233.518638255593,109.753759980129
"36","DELA","DELA_053",800,5844.41014805095,7.30551268506369,73.0551268506369,34.3359096197994
"37","DELA","DELA_054",800,23242.6995858815,29.0533744823519,290.533744823519,136.550860067054
"38","DELA","DELA_055",800,15666.3084165905,19.5828855207381,195.828855207381,92.0395619474692
"39","DELA","DELA_056",800,16814.2943968554,21.0178679960692,210.178679960692,98.7839795815253
"40","DELA","DELA_059",800,13086.9034594766,16.3586293243457,163.586293243457,76.8855578244248
"41","LENO","LENO_001",400,12696.55582376,31.7413895594,317.413895594,149.18453092918
"42","LENO","LENO_002",400,7551.74099959007,18.8793524989752,188.793524989752,88.7329567451833
"43","LENO","LENO_003",400,11392.5233757753,28.4813084394381,284.813084394381,133.862149665359
"44","LENO","LENO_004",400,5686.10670195397,14.2152667548849,142.152667548849,66.8117537479591
"45","LENO","LENO_005",400,10410.4937905266,26.0262344763164,260.262344763164,122.323302038687
"46","LENO","LENO_006",400,18466.090220794,46.1652255519851,461.652255519851,216.97656009433
"47","LENO","LENO_007",400,10984.4871505005,27.4612178762514,274.612178762514,129.067724018381
"48","LENO","LENO_008",400,6440.70029487536,16.1017507371884,161.017507371884,75.6782284647854
"49","LENO","LENO_009",400,24751.8336965712,61.879584241428,618.79584241428,290.834045934711
"50","LENO","LENO_010",400,7328.62995842789,18.3215748960697,183.215748960697,86.1114020115277
"51","LENO","LENO_011",400,1707.81514019807,4.26953785049516,42.6953785049516,20.0668278973273
"52","LENO","LENO_012",400,19670.3288264036,49.1758220660091,491.758220660091,231.126363710243
"53","LENO","LENO_013",400,8819.86843912374,22.0496710978094,220.496710978094,103.633454159704
"54","LENO","LENO_014",400,2583.98246756641,6.45995616891603,64.5995616891603,30.3617939939053
"55","LENO","LENO_015",400,7262.97431867477,18.1574357966869,181.574357966869,85.3399482444286
"56","LENO","LENO_016",400,6216.99622340196,15.5424905585049,155.424905585049,73.049705624973
"57","LENO","LENO_017",400,12206.0721912304,30.515180478076,305.15180478076,143.421348246957
"58","LENO","LENO_018",400,11296.6742252012,28.2416855630029,282.416855630029,132.735922146114
"59","LENO","LENO_019",400,5408.16692628835,13.5204173157209,135.204173157209,63.5459613838881
"60","LENO","LENO_021",400,12133.2620481874,30.3331551204686,303.331551204686,142.565829066202
