"","plotID","mean.root.MgC.ha","siteID"
"1","DSNY_041",0.827236539015261,"DSNY"
"2","DSNY_042",10.45618053556,"DSNY"
"3","DSNY_043",1.20818960552836,"DSNY"
"4","DSNY_044",1.53260869565217,"DSNY"
"5","DSNY_045",2.42226605240426,"DSNY"
"6","DSNY_046",1.40120357040023,"DSNY"
"7","DSNY_047",0.796855024474518,"DSNY"
"8","DSNY_048",1.61458465303772,"DSNY"
"9","DSNY_049",1.74663259429888,"DSNY"
"10","DSNY_050",4.12061978116902,"DSNY"
"11","DSNY_051",3.51772602936942,"DSNY"
"12","DSNY_052",1.53609343507054,"DSNY"
"13","DSNY_053",1.21167434494673,"DSNY"
"14","DSNY_054",1.33326806795278,"DSNY"
"15","DSNY_055",1.00546573567521,"DSNY"
"16","DSNY_056",22.3889094442845,"DSNY"
"17","DSNY_057",1.78036351857184,"DSNY"
"18","DSNY_058",2.23703354448604,"DSNY"
"19","DSNY_059",1.54093147135042,"DSNY"
"20","DSNY_060",4.50015188597754,"DSNY"
"21","DSNY_061",1.8130118053556,"DSNY"
"22","DSNY_062",6.06233011805356,"DSNY"
"23","DSNY_063",4.2526000575871,"DSNY"
"24","DSNY_064",2.30060466455514,"DSNY"
"25","DSNY_065",2.44506910452059,"DSNY"
"26","DSNY_066",1.90185574431327,"DSNY"
"27","DSNY_067",0.964224013820904,"DSNY"
"28","DSNY_068",0.383997984451483,"DSNY"
"29","DSNY_069",1.4876115750072,"DSNY"
"30","DSNY_070",2.68933918802188,"DSNY"
"31","JERC_047",2.83921681543334,"JERC"
"32","JERC_048",1.95920169881946,"JERC"
"33","JERC_049",5.23083069392456,"JERC"
"34","JERC_050",2.69136913331414,"JERC"
"35","JERC_051",3.66438957673481,"JERC"
"36","JERC_052",7.56865102217103,"JERC"
"37","JERC_053",3.3673409156349,"JERC"
"38","JERC_054",5.55934350705442,"JERC"
"39","JERC_055",4.44693348689893,"JERC"
"40","JERC_056",6.78949035416067,"JERC"
"41","JERC_057",4.11300748632306,"JERC"
"42","JERC_058",4.55012237258854,"JERC"
"43","JERC_059",4.06022890872445,"JERC"
"44","JERC_060",10.6257486323064,"JERC"
"45","JERC_061",5.39762453210481,"JERC"
"46","JERC_062",3.36632594298877,"JERC"
"47","JERC_063",4.47095450619061,"JERC"
"48","JERC_064",6.93429311834149,"JERC"
"49","JERC_065",4.07376187733948,"JERC"
"50","JERC_066",3.54326950763029,"JERC"
"51","OSBS_025",2.13499496112871,"OSBS"
"52","OSBS_026",1.84522027065937,"OSBS"
"53","OSBS_027",2.55482147998848,"OSBS"
"54","OSBS_028",2.55245321048085,"OSBS"
"55","OSBS_029",3.28377483443709,"OSBS"
"56","OSBS_030",2.77551036567809,"OSBS"
"57","OSBS_031",2.46909012381227,"OSBS"
"58","OSBS_032",2.24275122372589,"OSBS"
"59","OSBS_033",4.40633458105384,"OSBS"
"60","OSBS_034",6.44632810250504,"OSBS"
"61","OSBS_035",2.87778577598618,"OSBS"
"62","OSBS_036",5.6330643535848,"OSBS"
"63","OSBS_037",2.86019291678664,"OSBS"
"64","OSBS_038",3.60958105384394,"OSBS"
"65","OSBS_039",2.41123668298301,"OSBS"
"66","OSBS_040",5.64460120932911,"OSBS"
"67","OSBS_041",4.34746616757846,"OSBS"
"68","OSBS_042",5.07249496112871,"OSBS"
"69","OSBS_043",5.30661531816873,"OSBS"
"70","OSBS_044",3.71513820904117,"OSBS"
