"","plotID","siteID","total.carbon","soil.C.Mg.ha"
"1","DELA_002","DELA",9892.35,98.9235
"2","DELA_003","DELA",10077.26,100.7726
"3","DELA_005","DELA",13029.3,130.293
"4","DELA_008","DELA",10042.3,100.423
"5","DELA_009","DELA",14628.94,146.2894
"6","DELA_010","DELA",11003.03,110.0303
"7","DELA_011","DELA",16211.97,162.1197
"8","DELA_014","DELA",10191.65,101.9165
"9","DELA_015","DELA",12043.9566666667,120.439566666667
"10","DELA_016","DELA",12278.4,122.784
"11","DELA_020","DELA",9000.4,90.004
"12","DELA_021","DELA",14706.66,147.0666
"13","DELA_023","DELA",8845.41,88.4541
"14","DELA_024","DELA",21900.9966666667,219.009966666667
"15","DELA_025","DELA",11689.9,116.899
"16","DELA_028","DELA",10245.97,102.4597
"17","DELA_029","DELA",8566.68,85.6668
"18","DELA_037","DELA",11869.16875,118.6916875
"19","DELA_038","DELA",11176.2,111.762
"20","DELA_040","DELA",13314.7015625,133.147015625
"21","DELA_041","DELA",11503.28125,115.0328125
"22","LENO_002","LENO",16769.2,167.692
"23","LENO_003","LENO",16205.66,162.0566
"24","LENO_006","LENO",11548.44,115.4844
"25","LENO_007","LENO",10229.6,102.296
"26","LENO_009","LENO",9466.52,94.6652
"27","LENO_011","LENO",13179.8,131.798
"28","LENO_012","LENO",11518.6,115.186
"29","LENO_014","LENO",16916.12,169.1612
"30","LENO_015","LENO",17542.23,175.4223
"31","LENO_016","LENO",13450.26,134.5026
"32","LENO_017","LENO",16190.85,161.9085
"33","LENO_019","LENO",12884.02,128.8402
"34","LENO_020","LENO",14005.43,140.0543
"35","LENO_021","LENO",13861.39,138.6139
"36","LENO_022","LENO",9746.94,97.4694
"37","LENO_023","LENO",12818.38,128.1838
"38","LENO_027","LENO",18071.33,180.7133
"39","LENO_029","LENO",10487.99,104.8799
"40","TALL_002","TALL",8341.57,83.4157
"41","TALL_004","TALL",5898.06,58.9806
"42","TALL_005","TALL",9864.6,98.646
"43","TALL_006","TALL",5437.78,54.3778
"44","TALL_007","TALL",5083.6,50.836
"45","TALL_009","TALL",3249.83,32.4983
"46","TALL_010","TALL",12318.68,123.1868
"47","TALL_011","TALL",3378.18,33.7818
"48","TALL_012","TALL",5006.66,50.0666
"49","TALL_013","TALL",14551.47,145.5147
"50","TALL_015","TALL",7448.22647058824,74.4822647058824
"51","TALL_016","TALL",9343.8,93.438
"52","TALL_017","TALL",5111.96,51.1196
"53","TALL_018","TALL",4994.16,49.9416
"54","TALL_020","TALL",4574.68,45.7468
"55","TALL_021","TALL",3017.26,30.1726
"56","TALL_023","TALL",4651.78,46.5178
"57","TALL_024","TALL",13093.66,130.9366
"58","TALL_025","TALL",4121.16,41.2116
"59","TALL_026","TALL",6167.8,61.678
"60","TALL_027","TALL",10640.24,106.4024
"61","TALL_029","TALL",3028.96,30.2896
"62","TALL_030","TALL",23879.64,238.7964
"63","TALL_031","TALL",4426.29,44.2629
"64","TALL_032","TALL",4198.88,41.9888
"65","TALL_044","TALL",10487.7148235294,104.877148235294
