"","plotID","mean.root.MgC.ha","siteID"
"1","DELA_037",3.10957169594011,"DELA"
"2","DELA_038",2.37104376619637,"DELA"
"3","DELA_039",4.06005974661676,"DELA"
"4","DELA_040",3.08609199539303,"DELA"
"5","DELA_041",4.00291678663979,"DELA"
"6","DELA_042",2.49365246184855,"DELA"
"7","DELA_043",3.64158652461849,"DELA"
"8","DELA_044",2.25350993377483,"DELA"
"9","DELA_045",2.41593938957673,"DELA"
"10","DELA_046",4.4644586812554,"DELA"
"11","DELA_047",3.16661315865246,"DELA"
"12","DELA_048",2.46655269219695,"DELA"
"13","DELA_050",3.31638928879931,"DELA"
"14","DELA_051",3.26760293694212,"DELA"
"15","DELA_052",4.71045421825511,"DELA"
"16","DELA_053",3.06095450619061,"DELA"
"17","DELA_054",3.65122876475669,"DELA"
"18","DELA_055",6.10566945004319,"DELA"
"19","DELA_056",3.339970486611,"DELA"
"20","DELA_059",3.73878707169594,"DELA"
"21","LENO_061",3.29104880506766,"LENO"
"22","LENO_062",4.58167110567233,"LENO"
"23","LENO_063",3.96644543622229,"LENO"
"24","LENO_064",2.52887201266916,"LENO"
"25","LENO_065",4.84158868413475,"LENO"
"26","LENO_066",2.88434926576447,"LENO"
"27","LENO_067",3.34463936078318,"LENO"
"28","LENO_068",2.95199719262885,"LENO"
"29","LENO_069",3.35986822455655,"LENO"
"30","LENO_070",3.92412107687878,"LENO"
"31","TALL_042",3.90635905557155,"TALL"
"32","TALL_043",2.88621004894904,"TALL"
"33","TALL_044",2.40984955369997,"TALL"
"34","TALL_045",5.09205010077743,"TALL"
"35","TALL_046",3.16806795277858,"TALL"
"36","TALL_047",3.92598186006335,"TALL"
"37","TALL_048",6.45366973797869,"TALL"
"38","TALL_049",6.41411963720127,"TALL"
"39","TALL_050",4.82624568096746,"TALL"
"40","TALL_051",4.40078606392168,"TALL"
"41","TALL_052",7.30811882138401,"TALL"
"42","TALL_053",2.37647950859008,"TALL"
"43","TALL_054",4.09967751223726,"TALL"
"44","TALL_055",2.36749136193493,"TALL"
"45","TALL_056",4.01902101929168,"TALL"
"46","TALL_057",5.03470414627123,"TALL"
"47","TALL_058",2.55208105384394,"TALL"
"48","TALL_059",3.70539447163835,"TALL"
"49","TALL_060",4.7904002303484,"TALL"
"50","TALL_061",3.21272674920818,"TALL"
