"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"1",1,1,"BLAN_001-M-15-3-20200714","2020-07-14 17:53:00","BLAN_001-M-15-3",0.822,1.845,2.667,0.95,0.747,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,1144143,11441430000,11441.43,11.44143
"2",2,2,"BLAN_001-M-3.5-35.5-20200714","2020-07-14 18:42:00","BLAN_001-M-3.5-35.5",0.247,2.846,3.093,1.1,1.086,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,1326897,13268970000,13268.97,13.26897
"3",3,3,"BLAN_001-M-31.5-18-20200310","2020-03-10 14:14:00","BLAN_001-M-31.5-18",3.165,1.471,4.636,NA,NA,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,1988844,19888440000,19888.44,19.88844
"4",4,4,"BLAN_001-M-33-23.5-20200714","2020-07-14 18:24:00","BLAN_001-M-33-23.5",1.171,1.904,3.075,0.202,0.194,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,1319175,13191750000,13191.75,13.19175
"5",5,5,"BLAN_001-M-37-36-20200310","2020-03-10 13:46:00","BLAN_001-M-37-36",3.432,1.432,4.864,NA,NA,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,2086656,20866560000,20866.56,20.86656
"6",6,6,"BLAN_001-M-9-32-20200310","2020-03-10 13:09:00","BLAN_001-M-9-32",4.076,2.176,6.251,NA,NA,"BLAN","BLAN_001-M","BLAN_001","M",1.43,1.48632653061224,1.43,10000,3e+05,429000,2681679,26816790000,26816.79,26.81679
"7",7,7,"BLAN_003-M-11-0-20200309","2020-03-09 14:17:00","BLAN_003-M-11-0",2.673,0.652,3.326,NA,NA,"BLAN","BLAN_003-M","BLAN_003","M",NA,1.48632653061224,1.48632653061224,10000,3e+05,445897.959183673,1483056.6122449,14830566122.449,14830.566122449,14.830566122449
"8",8,8,"BLAN_003-M-21-0-20200716","2020-07-16 12:41:00","BLAN_003-M-21-0",0.773,0.218,0.991,0.494,0.336,"BLAN","BLAN_003-M","BLAN_003","M",NA,1.48632653061224,1.48632653061224,10000,3e+05,445897.959183673,441884.87755102,4418848775.5102,4418.8487755102,4.4188487755102
"9",9,9,"BLAN_003-M-21.5-4.5-20200309","2020-03-09 14:54:00","BLAN_003-M-21.5-4.5",2.362,1.608,3.97,NA,NA,"BLAN","BLAN_003-M","BLAN_003","M",NA,1.48632653061224,1.48632653061224,10000,3e+05,445897.959183673,1770214.89795918,17702148979.5918,17702.1489795918,17.7021489795918
"10",10,10,"BLAN_003-M-22.5-32.5-20200309","2020-03-09 15:23:00","BLAN_003-M-22.5-32.5",3.03,1.703,4.733,NA,NA,"BLAN","BLAN_003-M","BLAN_003","M",NA,1.48632653061224,1.48632653061224,10000,3e+05,445897.959183673,2110435.04081633,21104350408.1633,21104.3504081633,21.1043504081633
