"","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"22",22,"DELA_003-M-6.5-25.5-20190626","2019-06-26 14:08:00","DELA_003-M-6.5-25.5",1.003,1.181,2.184,0.111,0.043,"DELA","DELA_003-M","DELA_003","M",1.41,1.3859375,1.41,10000,3e+05,423000,923832,9238320000,9238.32,9.23832
"23",23,"DELA_003-M-6.5-36-20191113","2019-11-13 19:11:00","DELA_003-M-6.5-36",2.02,0.89,2.91,-0.006,-0.023,"DELA","DELA_003-M","DELA_003","M",1.41,1.3859375,1.41,10000,3e+05,423000,1230930,12309300000,12309.3,12.3093
"24",24,"DELA_003-M-7.5-8-20191113","2019-11-13 18:53:00","DELA_003-M-7.5-8",2.167,1.061,3.228,0.357,0.14,"DELA","DELA_003-M","DELA_003","M",1.41,1.3859375,1.41,10000,3e+05,423000,1365444,13654440000,13654.44,13.65444
"25",25,"DELA_004-M-0-17-20191113","2019-11-13 21:13:00","DELA_004-M-0-17",1.973,2.969,4.942,-0.12,-0.052,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2054790.9375,20547909375,20547.909375,20.547909375
"26",26,"DELA_004-M-19-35.5-20190515","2019-05-15 15:17:00","DELA_004-M-19-35.5",3.667,0.856,4.522,0.258,-0.035,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1880162.8125,18801628125,18801.628125,18.801628125
"27",27,"DELA_004-M-2-13.5-20190624","2019-06-24 17:43:00","DELA_004-M-2-13.5",0.678,1.28,1.959,0.088,0.097,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,814515.46875,8145154687.5,8145.1546875,8.1451546875
"28",28,"DELA_004-M-30.5-3-20190515","2019-05-15 15:32:00","DELA_004-M-30.5-3",1.154,3.444,4.598,-0.003,-0.001,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1911762.1875,19117621875,19117.621875,19.117621875
"29",29,"DELA_004-M-35-33.5-20191113","2019-11-13 21:12:00","DELA_004-M-35-33.5",3.141,2.678,5.818,0.039,0.068,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2419015.3125,24190153125,24190.153125,24.190153125
"30",30,"DELA_004-M-36-32.5-20190515","2019-05-15 15:25:00","DELA_004-M-36-32.5",3.251,0.753,4.005,0.152,-0.02,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1665203.90625,16652039062.5,16652.0390625,16.6520390625
"31",31,"DELA_004-M-36.5-34-20190624","2019-06-24 18:19:00","DELA_004-M-36.5-34",0.748,0.672,1.42,0.07,0.05,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,590409.375,5904093750,5904.09375,5.90409375
"32",32,"DELA_004-M-39-0.5-20190624","2019-06-24 18:02:00","DELA_004-M-39-0.5",1.013,0.609,1.622,0.127,-0.017,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,674397.1875,6743971875,6743.971875,6.743971875
"33",33,"DELA_004-M-9-21.5-20191113","2019-11-13 20:57:00","DELA_004-M-9-21.5",1.372,2.974,4.346,-0.029,-0.042,"DELA","DELA_004-M","DELA_004","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1806985.3125,18069853125,18069.853125,18.069853125
"34",34,"DELA_005-M-13.5-4.5-20191113","2019-11-13 16:10:00","DELA_005-M-13.5-4.5",0.614,2.329,2.943,0.206,0.218,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,1185293.25,11852932500,11852.9325,11.8529325
"35",35,"DELA_005-M-15-34.5-20190624","2019-06-24 14:16:00","DELA_005-M-15-34.5",0.54,1.465,2.005,0.137,0.151,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,807513.75,8075137500,8075.1375,8.0751375
"36",36,"DELA_005-M-20.5-37.5-20191113","2019-11-13 15:55:00","DELA_005-M-20.5-37.5",0.835,1.222,2.057,0.123,0.149,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,828456.75,8284567500,8284.5675,8.2845675
"37",37,"DELA_005-M-3-9-20190624","2019-06-24 14:24:00","DELA_005-M-3-9",0.592,2.321,2.913,0.184,0.195,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,1173210.75,11732107500,11732.1075,11.7321075
"38",38,"DELA_005-M-33.5-6-20190513","2019-05-13 15:17:00","DELA_005-M-33.5-6",0.694,1.474,2.168,0.121,0.14,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,873162,8731620000,8731.62,8.73162
"39",39,"DELA_005-M-35-2-20191113","2019-11-13 16:22:00","DELA_005-M-35-2",1.565,1.259,2.824,0.016,0.08,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,1137366,11373660000,11373.66,11.37366
"40",40,"DELA_005-M-35-25.5-20190513","2019-05-13 15:39:00","DELA_005-M-35-25.5",0.559,2.882,3.441,0.062,0.066,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,1385862.75,13858627500,13858.6275,13.8586275
"41",41,"DELA_005-M-35-35-20190624","2019-06-24 14:04:00","DELA_005-M-35-35",0.24,1.801,2.041,0.05,0.049,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,822012.75,8220127500,8220.1275,8.2201275
"42",42,"DELA_005-M-8-29.5-20190513","2019-05-13 16:00:00","DELA_005-M-8-29.5",0.643,2.487,3.13,-0.01,-0.067,"DELA","DELA_005-M","DELA_005","M",1.3425,1.3859375,1.3425,10000,3e+05,402750,1260607.5,12606075000,12606.075,12.606075
"43",43,"DELA_014-M-19-38.5-20190624","2019-06-24 15:11:00","DELA_014-M-19-38.5",0.795,1.468,2.264,0.035,0.025,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,938994,9389940000,9389.94,9.38994
"44",44,"DELA_014-M-23.5-3.5-20190624","2019-06-24 15:23:00","DELA_014-M-23.5-3.5",0.769,1.472,2.241,0.062,0.045,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,929454.75,9294547500,9294.5475,9.2945475
"45",45,"DELA_014-M-25-8-20190513","2019-05-13 17:34:00","DELA_014-M-25-8",0.623,0.741,1.364,0.008,-0.005,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,565719,5657190000,5657.19,5.65719
"46",46,"DELA_014-M-28.5-34-20191113","2019-11-13 17:50:00","DELA_014-M-28.5-34",0.925,2.227,3.151,-0.019,-0.013,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,1306877.25,13068772500,13068.7725,13.0687725
"47",47,"DELA_014-M-3-16.5-20191113","2019-11-13 17:21:00","DELA_014-M-3-16.5",0.603,2.889,3.492,-0.006,-0.015,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,1448307,14483070000,14483.07,14.48307
"48",48,"DELA_014-M-31-5-20191113","2019-11-13 17:38:00","DELA_014-M-31-5",0.716,3.257,3.973,0.046,0.041,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,1647801.75,16478017500,16478.0175,16.4780175
"49",49,"DELA_014-M-34-23.5-20190513","2019-05-13 17:02:00","DELA_014-M-34-23.5",0.477,0.969,1.446,0.071,0.013,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,599728.5,5997285000,5997.285,5.997285
"50",50,"DELA_014-M-4.5-16.5-20190513","2019-05-13 18:02:00","DELA_014-M-4.5-16.5",0.506,1.472,1.978,-0.032,-0.048,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,820375.5,8203755000,8203.755,8.203755
"51",51,"DELA_014-M-8.5-1-20190624","2019-06-24 15:37:00","DELA_014-M-8.5-1",0.744,1.609,2.352,0.191,0.167,"DELA","DELA_014-M","DELA_014","M",1.3825,1.3859375,1.3825,10000,3e+05,414750,975492,9754920000,9754.92,9.75492
"52",52,"DELA_037-M-0-12.5-20191112","2019-11-12 15:31:00","DELA_037-M-0-12.5",1.31,0.626,1.935,0.243,0.136,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,804536.71875,8045367187.5,8045.3671875,8.0453671875
"53",53,"DELA_037-M-14-1.5-20190515","2019-05-15 19:09:00","DELA_037-M-14-1.5",15.225,0.352,15.577,0.419,0.003,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,6476624.53125,64766245312.5,64766.2453125,64.7662453125
"54",54,"DELA_037-M-17-3-20190626","2019-06-26 15:17:00","DELA_037-M-17-3",1.675,1.878,3.553,-0.072,-0.063,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1477270.78125,14772707812.5,14772.7078125,14.7727078125
"55",55,"DELA_037-M-26-3-20191112","2019-11-12 15:41:00","DELA_037-M-26-3",1.104,1.863,2.967,0.089,0.009,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1233622.96875,12336229687.5,12336.2296875,12.3362296875
"56",56,"DELA_037-M-28.5-39.5-20190515","2019-05-15 18:35:00","DELA_037-M-28.5-39.5",4.116,0.835,4.951,0.059,-0.007,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2058532.96875,20585329687.5,20585.3296875,20.5853296875
"57",57,"DELA_037-M-30-11-20190515","2019-05-15 19:23:00","DELA_037-M-30-11",5.03,0.191,5.221,0.475,0.017,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,2170793.90625,21707939062.5,21707.9390625,21.7079390625
"58",58,"DELA_037-M-34.5-29-20190626","2019-06-26 14:49:00","DELA_037-M-34.5-29",1.976,0.851,2.827,0.082,0.101,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1175413.59375,11754135937.5,11754.1359375,11.7541359375
"59",59,"DELA_037-M-8-20.5-20191112","2019-11-12 15:18:00","DELA_037-M-8-20.5",0.866,1.626,2.492,0.103,0.073,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1036126.875,10361268750,10361.26875,10.36126875
"60",60,"DELA_037-M-9.5-23-20190626","2019-06-26 14:55:00","DELA_037-M-9.5-23",1.563,1.854,3.417,0.544,-0.065,"DELA","DELA_037-M","DELA_037","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1420724.53125,14207245312.5,14207.2453125,14.2072453125
"61",61,"DELA_038-M-2-24.5-20191112","2019-11-12 16:55:00","DELA_038-M-2-24.5",1.148,3.017,4.165,0.226,0.145,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1731728.90625,17317289062.5,17317.2890625,17.3172890625
"62",62,"DELA_038-M-24.5-36.5-20190626","2019-06-26 13:03:00","DELA_038-M-24.5-36.5",2.277,2.472,4.749,0.058,0.081,"DELA","DELA_038-M","DELA_038","M",NA,1.3859375,1.3859375,10000,3e+05,415781.25,1974545.15625,19745451562.5,19745.4515625,19.7454515625
