"","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"91",91,"LENO_001-M-29-3.5-20180711","2018-07-11 16:18:00","LENO_001-M-29-3.5",0.466,1.257,1.722,0.222,0.034,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,647816.4,6478164000,6478.164,6.478164
"92",92,"LENO_001-M-34-20.5-20181105","2018-11-05 21:35:00","LENO_001-M-34-20.5",0.68,1.215,1.894,0.059,0.047,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,712522.8,7125228000,7125.228,7.125228
"93",93,"LENO_001-M-35-7-20181105","2018-11-05 21:48:00","LENO_001-M-35-7",0.968,0.68,1.648,0.111,0.102,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,619977.6,6199776000,6199.776,6.199776
"94",94,"LENO_001-M-39-20230627","2023-06-27 15:08:00","LENO_001-M-39-peakGreenness-2023",1.284,4.181,5.465,-0.087,-0.104,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,2055933,20559330000,20559.33,20.55933
"95",95,"LENO_001-M-39.5-37-20180711","2018-07-11 15:58:00","LENO_001-M-39.5-37",0.862,0.73,1.593,0.271,-0.017,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,599286.6,5992866000,5992.866,5.992866
"96",96,"LENO_001-M-41-20230627","2023-06-27 14:35:00","LENO_001-M-41-peakGreenness-2023",7.747,1.394,9.141,0.379,-0.048,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,3438844.2,34388442000,34388.442,34.388442
"97",97,"LENO_001-M-41-20231108","2023-11-08 17:34:00","LENO_001-M-41-dryWetTransition-2023",1.12,0.89,2.01,0.074,0.105,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,756162,7561620000,7561.62,7.56162
"98",98,"LENO_001-M-5-23.5-20180425","2018-04-25 18:09:00","LENO_001-M-5-23.5",2.073,1.159,3.233,0.291,-0.035,"LENO","LENO_001-M","LENO_001","M",NA,1.254,1.254,10000,3e+05,376200,1216254.6,12162546000,12162.546,12.162546
"99",99,"LENO_002-M-11.5-35.5-20180709","2018-07-09 14:27:00","LENO_002-M-11.5-35.5",0.464,1.548,2.012,1.039,0.901,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,648870,6488700000,6488.7,6.4887
"100",100,"LENO_002-M-13-7.5-20181108","2018-11-08 21:14:00","LENO_002-M-13-7.5",0.5,1.413,1.912,0.005,-0.029,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,616620,6166200000,6166.2,6.1662
"101",101,"LENO_002-M-2-13-20180709","2018-07-09 14:02:00","LENO_002-M-2-13",0.161,1.473,1.634,0.126,0.068,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,526965,5269650000,5269.65,5.26965
"102",102,"LENO_002-M-2.5-5-20180424","2018-04-24 18:17:00","LENO_002-M-2.5-5",1.538,1.613,3.152,0.017,-0.027,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1016520,10165200000,10165.2,10.1652
"103",103,"LENO_002-M-20.5-32-20180709","2018-07-09 14:46:00","LENO_002-M-20.5-32",0.949,1.21,2.159,0.551,0.442,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,696277.5,6962775000,6962.775,6.962775
"104",104,"LENO_002-M-21-20230417","2023-04-17 15:39:00","LENO_002-M-21-wetDryTransition-2023",1.609,0.783,2.393,0.199,-0.023,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,771742.5,7717425000,7717.425,7.717425
"105",105,"LENO_002-M-21-20230629","2023-06-29 17:53:00","LENO_002-M-21-peakGreenness-2023",1.51,3.724,5.234,-0.098,-0.098,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1687965,16879650000,16879.65,16.87965
"106",106,"LENO_002-M-23-20230629","2023-06-29 17:29:00","LENO_002-M-23-peakGreenness-2023",1.559,5.796,7.354,-0.132,-0.103,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,2371665,23716650000,23716.65,23.71665
"107",107,"LENO_002-M-23-20231108","2023-11-08 21:59:00","LENO_002-M-23-dryWetTransition-2023",0.547,2.497,3.044,0.006,-0.04,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,981690,9816900000,9816.9,9.8169
"108",108,"LENO_002-M-31.5-20-20181108","2018-11-08 20:52:00","LENO_002-M-31.5-20",1.261,1.499,2.76,0.168,0.148,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,890100,8.901e+09,8901,8.901
"109",109,"LENO_002-M-33-16-20180424","2018-04-24 18:32:00","LENO_002-M-33-16",1.991,3.045,5.035,0.464,-0.058,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1623787.5,16237875000,16237.875,16.237875
"110",110,"LENO_002-M-39-20230417","2023-04-17 16:28:00","LENO_002-M-39-wetDryTransition-2023",8.247,0.523,8.77,-0.118,-0.016,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,2828325,28283250000,28283.25,28.28325
"111",111,"LENO_002-M-39-20230629","2023-06-29 17:06:00","LENO_002-M-39-peakGreenness-2023",1.578,1.854,3.432,0.528,-0.041,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1106820,11068200000,11068.2,11.0682
"112",112,"LENO_002-M-39-20231108","2023-11-08 21:13:00","LENO_002-M-39-dryWetTransition-2023",1.25,4.279,5.529,-0.106,-0.101,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1783102.5,17831025000,17831.025,17.831025
"113",113,"LENO_002-M-41-20230417","2023-04-17 16:05:00","LENO_002-M-41-wetDryTransition-2023",1.763,1.081,2.845,0.159,-0.008,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,917512.5,9175125000,9175.125,9.175125
"114",114,"LENO_002-M-41-20231108","2023-11-08 21:41:00","LENO_002-M-41-dryWetTransition-2023",0.844,1.071,1.915,0.206,0.215,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,617587.5,6175875000,6175.875,6.175875
"115",115,"LENO_002-M-8.5-20.5-20180424","2018-04-24 17:58:00","LENO_002-M-8.5-20.5",2.909,1.168,4.076,-0.058,0.014,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,1314510,13145100000,13145.1,13.1451
"116",116,"LENO_002-M-9.5-30-20181108","2018-11-08 20:36:00","LENO_002-M-9.5-30",0.909,1.275,2.184,0.001,0.006,"LENO","LENO_002-M","LENO_002","M",1.075,1.254,1.075,10000,3e+05,322500,704340,7043400000,7043.4,7.0434
"117",117,"LENO_003-M-17-3.5-20181108","2018-11-08 19:10:00","LENO_003-M-17-3.5",1.709,1.145,2.853,-0.066,-0.019,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1018521,10185210000,10185.21,10.18521
"118",118,"LENO_003-M-2-22-20180709","2018-07-09 15:52:00","LENO_003-M-2-22",1.032,1.245,2.277,0.181,-0.021,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,812889,8128890000,8128.89,8.12889
"119",119,"LENO_003-M-21-20230417","2023-04-17 19:12:00","LENO_003-M-21-wetDryTransition-2023",2.803,1.466,4.269,-0.068,-0.063,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1524033,15240330000,15240.33,15.24033
"120",120,"LENO_003-M-21-20230629","2023-06-29 15:52:00","LENO_003-M-21-peakGreenness-2023",1.468,3.486,4.953,0.354,-0.142,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1768221,17682210000,17682.21,17.68221
"121",121,"LENO_003-M-21-20231108","2023-11-08 20:25:00","LENO_003-M-21-dryWetTransition-2023",1.659,2.974,4.634,-0.076,-0.068,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1654338,16543380000,16543.38,16.54338
"122",122,"LENO_003-M-23-20230417","2023-04-17 18:00:00","LENO_003-M-23-wetDryTransition-2023",0.937,1.442,2.379,0.208,-0.042,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,849303,8493030000,8493.03,8.49303
"123",123,"LENO_003-M-23-20230629","2023-06-29 16:16:00","LENO_003-M-23-peakGreenness-2023",2.777,4.02,6.797,0.221,-0.068,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,2426529,24265290000,24265.29,24.26529
"124",124,"LENO_003-M-24.5-37-20180709","2018-07-09 16:08:00","LENO_003-M-24.5-37",2.285,1.531,3.816,0.061,-0.034,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1362312,13623120000,13623.12,13.62312
"125",125,"LENO_003-M-29-7-20181108","2018-11-08 19:35:00","LENO_003-M-29-7",1.503,1.635,3.138,0,0.011,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1120266,11202660000,11202.66,11.20266
"126",126,"LENO_003-M-3.5-36-20180424","2018-04-24 17:23:00","LENO_003-M-3.5-36",1.829,1.871,3.7,0.055,-0.023,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1320900,1.3209e+10,13209,13.209
"127",127,"LENO_003-M-30.5-5-20180424","2018-04-24 17:05:00","LENO_003-M-30.5-5",1.629,3.172,4.801,0.386,0.252,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1713957,17139570000,17139.57,17.13957
"128",128,"LENO_003-M-31-8.5-20180709","2018-07-09 15:26:00","LENO_003-M-31-8.5",0.721,1.029,1.75,0.54,-0.019,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,624750,6247500000,6247.5,6.2475
"129",129,"LENO_003-M-38-22-20180424","2018-04-24 16:46:00","LENO_003-M-38-22",3.37,2.565,5.934,-0.025,0.021,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,2118438,21184380000,21184.38,21.18438
"130",130,"LENO_003-M-39-20230417","2023-04-17 18:38:00","LENO_003-M-39-wetDryTransition-2023",1.672,1.429,3.101,0.004,0.071,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1107057,11070570000,11070.57,11.07057
"131",131,"LENO_003-M-39-20230629","2023-06-29 15:26:00","LENO_003-M-39-peakGreenness-2023",0.877,4.74,5.617,0.374,-0.24,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,2005269,20052690000,20052.69,20.05269
"132",132,"LENO_003-M-39-20231108","2023-11-08 20:05:00","LENO_003-M-39-dryWetTransition-2023",1.469,1.186,2.655,0.293,0.291,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,947835,9478350000,9478.35,9.47835
"133",133,"LENO_003-M-39-36-20181108","2018-11-08 19:48:00","LENO_003-M-39-36",2.547,3.424,5.971,0.112,0.116,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,2131647,21316470000,21316.47,21.31647
"134",134,"LENO_003-M-41-20231108","2023-11-08 19:38:00","LENO_003-M-41-dryWetTransition-2023",1.241,1.659,2.899,0.125,0.102,"LENO","LENO_003-M","LENO_003","M",1.19,1.254,1.19,10000,3e+05,357000,1034943,10349430000,10349.43,10.34943
"135",135,"LENO_004-M-15-0.5-20180709","2018-07-09 18:28:00","LENO_004-M-15-0.5",1.232,0.845,2.077,0.138,0.134,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,781367.4,7813674000,7813.674,7.813674
"136",136,"LENO_004-M-2-10.5-20180424","2018-04-24 12:47:00","LENO_004-M-2-10.5",0.8,2.051,2.851,-0.016,-0.06,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1072546.2,10725462000,10725.462,10.725462
"137",137,"LENO_004-M-21-20230417","2023-04-17 19:46:00","LENO_004-M-21-wetDryTransition-2023",2.794,0.462,3.256,0.098,0.121,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1224907.2,12249072000,12249.072,12.249072
"138",138,"LENO_004-M-21-20230627","2023-06-27 18:49:00","LENO_004-M-21-peakGreenness-2023",1.89,3.4,5.289,-0.118,-0.065,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1989721.8,19897218000,19897.218,19.897218
"139",139,"LENO_004-M-23-20230417","2023-04-17 20:05:00","LENO_004-M-23-wetDryTransition-2023",1.932,0.546,2.478,0.215,0.226,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,932223.6,9322236000,9322.236,9.322236
"140",140,"LENO_004-M-23-20230627","2023-06-27 19:46:00","LENO_004-M-23-peakGreenness-2023",3.44,0.444,3.884,-0.053,0.122,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1461160.8,14611608000,14611.608,14.611608
"141",141,"LENO_004-M-23-20231106","2023-11-06 17:17:00","LENO_004-M-23-dryWetTransition-2023",0.557,0.295,0.853,0.121,0.131,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,320898.6,3208986000,3208.986,3.208986
"142",142,"LENO_004-M-25-31-20181108","2018-11-08 16:09:00","LENO_004-M-25-31",1.373,0.87,2.243,-0.023,0.015,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,843816.6,8438166000,8438.166,8.438166
"143",143,"LENO_004-M-28.5-6.5-20181108","2018-11-08 16:51:00","LENO_004-M-28.5-6.5",0.947,2.127,3.074,-0.014,0.002,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1156438.8,11564388000,11564.388,11.564388
"144",144,"LENO_004-M-3-20.5-20180424","2018-04-24 13:09:00","LENO_004-M-3-20.5",1.5,1.511,3.011,-0.053,-0.013,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1132738.2,11327382000,11327.382,11.327382
"145",145,"LENO_004-M-31.5-37.5-20180709","2018-07-09 18:57:00","LENO_004-M-31.5-37.5",0.837,1.044,1.881,0.19,-0.021,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,707632.2,7076322000,7076.322,7.076322
"146",146,"LENO_004-M-34-37-20180424","2018-04-24 13:29:00","LENO_004-M-34-37",1.549,1.062,2.611,0.03,-0.017,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,982258.2,9822582000,9822.582,9.822582
"147",147,"LENO_004-M-39-20230417","2023-04-17 19:08:00","LENO_004-M-39-wetDryTransition-2023",3.265,0.776,4.04,0.024,0.105,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1519848,15198480000,15198.48,15.19848
"148",148,"LENO_004-M-39-20230627","2023-06-27 19:09:00","LENO_004-M-39-peakGreenness-2023",1.625,1.727,3.352,0.218,0.168,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,1261022.4,12610224000,12610.224,12.610224
"149",149,"LENO_004-M-39-20231106","2023-11-06 16:53:00","LENO_004-M-39-dryWetTransition-2023",0.944,0.449,1.393,0.027,0.043,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,524046.6,5240466000,5240.466,5.240466
"150",150,"LENO_004-M-41-20231106","2023-11-06 16:29:00","LENO_004-M-41-dryWetTransition-2023",0.817,0.015,0.832,0.061,0.06,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,312998.4,3129984000,3129.984,3.129984
"151",151,"LENO_004-M-5.5-39.5-20181108","2018-11-08 16:30:00","LENO_004-M-5.5-39.5",1.116,1.287,2.404,0.041,-0.004,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,904384.8,9043848000,9043.848,9.043848
"152",152,"LENO_004-M-8-28-20180709","2018-07-09 19:06:00","LENO_004-M-8-28",1.264,1.285,2.548,0.222,0.257,"LENO","LENO_004-M","LENO_004","M",NA,1.254,1.254,10000,3e+05,376200,958557.6,9585576000,9585.576,9.585576
"153",153,"LENO_005-M-0-6-20181108","2018-11-08 15:00:00","LENO_005-M-0-6",0.781,1.622,2.403,-0.026,-0.017,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,904008.6,9040086000,9040.086,9.040086
"154",154,"LENO_005-M-0.5-16-20180709","2018-07-09 19:52:00","LENO_005-M-0.5-16",2.133,0.673,2.806,-0.034,0.033,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1055617.2,10556172000,10556.172,10.556172
"155",155,"LENO_005-M-11-38-20181108","2018-11-08 15:20:00","LENO_005-M-11-38",1.819,1.175,2.994,-0.016,0.05,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1126342.8,11263428000,11263.428,11.263428
"156",156,"LENO_005-M-18.5-38-20180424","2018-04-24 14:32:00","LENO_005-M-18.5-38",0.607,1.323,1.93,0.091,0.113,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,726066,7260660000,7260.66,7.26066
"157",157,"LENO_005-M-21-20230417","2023-04-17 17:33:00","LENO_005-M-21-wetDryTransition-2023",1.856,0.319,2.175,0.25,0.287,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,818235,8182350000,8182.35,8.18235
"158",158,"LENO_005-M-21-20230627","2023-06-27 17:18:00","LENO_005-M-21-peakGreenness-2023",1.84,3.141,4.981,0.004,0.078,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1873852.2,18738522000,18738.522,18.738522
"159",159,"LENO_005-M-23-20230627","2023-06-27 17:43:00","LENO_005-M-23-peakGreenness-2023",0.951,2.29,3.24,-0.134,-0.128,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1218888,12188880000,12188.88,12.18888
"160",160,"LENO_005-M-23-20231106","2023-11-06 19:04:00","LENO_005-M-23-dryWetTransition-2023",0.747,0,0.747,0.052,0.051,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,281021.4,2810214000,2810.214,2.810214
"161",161,"LENO_005-M-28-1-20181108","2018-11-08 14:43:00","LENO_005-M-28-1",0.342,1.193,1.535,0.048,0.046,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,577467,5774670000,5774.67,5.77467
"162",162,"LENO_005-M-30-38-20180709","2018-07-09 19:46:00","LENO_005-M-30-38",0.699,1.083,1.782,0.272,0.29,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,670388.4,6703884000,6703.884,6.703884
"163",163,"LENO_005-M-30-9.5-20180709","2018-07-09 20:05:00","LENO_005-M-30-9.5",0.273,0.836,1.109,0.146,0.148,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,417205.8,4172058000,4172.058,4.172058
"164",164,"LENO_005-M-36.5-22.5-20180424","2018-04-24 14:19:00","LENO_005-M-36.5-22.5",0.477,0.715,1.192,-0.022,0.002,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,448430.4,4484304000,4484.304,4.484304
"165",165,"LENO_005-M-39-20230417","2023-04-17 18:23:00","LENO_005-M-39-wetDryTransition-2023",2.322,0.971,3.292,-0.047,-0.02,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1238450.4,12384504000,12384.504,12.384504
"166",166,"LENO_005-M-39-20231106","2023-11-06 18:27:00","LENO_005-M-39-dryWetTransition-2023",1.123,0.034,1.157,0.035,0.056,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,435263.4,4352634000,4352.634,4.352634
"167",167,"LENO_005-M-4-15.5-20180424","2018-04-24 14:43:00","LENO_005-M-4-15.5",0.327,1.031,1.358,0.132,0.092,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,510879.6,5108796000,5108.796,5.108796
"168",168,"LENO_005-M-41-20230417","2023-04-17 17:59:00","LENO_005-M-41-wetDryTransition-2023",3.497,0.632,4.129,0.08,0.181,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1553329.8,15533298000,15533.298,15.533298
"169",169,"LENO_005-M-41-20230627","2023-06-27 18:01:00","LENO_005-M-41-peakGreenness-2023",2.092,1.535,3.627,-0.024,0.066,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,1364477.4,13644774000,13644.774,13.644774
"170",170,"LENO_005-M-41-20231106","2023-11-06 18:47:00","LENO_005-M-41-dryWetTransition-2023",0.637,0,0.637,0.043,0.047,"LENO","LENO_005-M","LENO_005","M",NA,1.254,1.254,10000,3e+05,376200,239639.4,2396394000,2396.394,2.396394
"171",171,"LENO_006-M-12-32-20181108","2018-11-08 18:21:00","LENO_006-M-12-32",0.931,2.001,2.932,-0.026,-0.009,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1084840,10848400000,10848.4,10.8484
"172",172,"LENO_006-M-19-39.5-20180424","2018-04-24 15:24:00","LENO_006-M-19-39.5",1.42,1.174,2.594,0.194,0.133,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,959779.999999997,9597799999.99998,9597.79999999998,9.59779999999998
"173",173,"LENO_006-M-19.5-5.5-20180709","2018-07-09 17:13:00","LENO_006-M-19.5-5.5",3.113,1.768,4.881,0.032,0.034,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1805970,18059700000,18059.7,18.0597
"174",174,"LENO_006-M-21-20230417","2023-04-17 21:48:00","LENO_006-M-21-wetDryTransition-2023",4.06,1.152,5.212,-0.05,-0.004,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1928439.99999999,19284399999.9999,19284.3999999999,19.2843999999999
"175",175,"LENO_006-M-21-20230629","2023-06-29 14:46:00","LENO_006-M-21-peakGreenness-2023",1.337,1.253,2.59,0.219,0.065,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,958299.999999997,9582999999.99998,9582.99999999997,9.58299999999998
"176",176,"LENO_006-M-23-20231106","2023-11-06 20:45:00","LENO_006-M-23-dryWetTransition-2023",0.967,0,0.967,0.089,0.075,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,357789.999999999,3577899999.99999,3577.89999999999,3.57789999999999
"177",177,"LENO_006-M-23.5-37.5-20180709","2018-07-09 17:44:00","LENO_006-M-23.5-37.5",1.61,1.136,2.746,0.105,0.097,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1016020,10160200000,10160.2,10.1602
"178",178,"LENO_006-M-25-36-20181108","2018-11-08 17:58:00","LENO_006-M-25-36",0.887,1.446,2.333,0.032,0.026,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,863209.999999998,8632099999.99998,8632.09999999998,8.63209999999998
"179",179,"LENO_006-M-33-10-20180424","2018-04-24 15:44:00","LENO_006-M-33-10",1.108,3.083,4.191,0.108,0.082,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1550670,15506700000,15506.7,15.5067
"180",180,"LENO_006-M-37-2-20181108","2018-11-08 17:38:00","LENO_006-M-37-2",2.408,1.413,3.822,-0.018,0.025,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1414140,14141400000,14141.4,14.1414
"181",181,"LENO_006-M-39-12.5-20180709","2018-07-09 17:26:00","LENO_006-M-39-12.5",0.923,2.335,3.258,0.448,0.363,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1205460,12054600000,12054.6,12.0546
"182",182,"LENO_006-M-39-20230417","2023-04-17 21:32:00","LENO_006-M-39-wetDryTransition-2023",2.197,1.33,3.527,-0.057,-0.007,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1304990,13049900000,13049.9,13.0499
"183",183,"LENO_006-M-39-20230629","2023-06-29 14:26:00","LENO_006-M-39-peakGreenness-2023",2.406,4.839,7.245,0.241,-0.228,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,2680649.99999999,26806499999.9999,26806.4999999999,26.8064999999999
"184",184,"LENO_006-M-39-20231106","2023-11-06 20:09:00","LENO_006-M-39-dryWetTransition-2023",0.847,0.214,1.061,0.15,0.102,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,392569.999999999,3925699999.99999,3925.69999999999,3.92569999999999
"185",185,"LENO_006-M-41-20230417","2023-04-17 21:03:00","LENO_006-M-41-wetDryTransition-2023",6.546,1.008,7.554,0.149,0.021,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,2794979.99999999,27949799999.9999,27949.7999999999,27.9497999999999
"186",186,"LENO_006-M-41-20230629","2023-06-29 14:01:00","LENO_006-M-41-peakGreenness-2023",1.332,2.235,3.567,0.266,-0.038,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1319790,13197900000,13197.9,13.1979
"187",187,"LENO_006-M-41-20231106","2023-11-06 20:27:00","LENO_006-M-41-dryWetTransition-2023",0.919,0.325,1.244,0.133,0.13,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,460279.999999999,4602799999.99999,4602.79999999999,4.60279999999999
"188",188,"LENO_006-M-5.5-1-20180424","2018-04-24 16:12:00","LENO_006-M-5.5-1",1.048,4.163,5.211,0.008,0.037,"LENO","LENO_006-M","LENO_006","M",1.23333333333333,1.254,1.23333333333333,10000,3e+05,369999.999999999,1928069.99999999,19280700000,19280.6999999999,19.2806999999999
"189",189,"LENO_061-M-0-22-20181105","2018-11-05 17:23:00","LENO_061-M-0-22",1.668,1.161,2.829,0.232,0.185,"LENO","LENO_061-M","LENO_061","M",NA,1.254,1.254,10000,3e+05,376200,1064269.8,10642698000,10642.698,10.642698
