"","plotID","siteID","total.carbon","soil.C.Mg.ha","...1","totalSampledAreaTrees","plot.AGB","AGB.kg.m2","AGB.Mg.ha","AGB.C.Mg.ha","mean.root.MgC.ha"
"63","BONA_003","BONA",NA,NA,8,400,263.945531587844,0.659863828969609,6.59863828969609,3.10135999615716,NA
"64","BONA_004","BONA",NA,NA,9,400,1169.81101064636,2.92452752661589,29.2452752661589,13.7452793750947,NA
"65","BONA_005","BONA",NA,NA,10,400,1913.0007522692,4.78250188067299,47.8250188067299,22.4777588391631,NA
"66","BONA_006","BONA",NA,NA,11,400,101.363958855758,0.253409897139394,2.53409897139394,1.19102651655515,NA
"67","BONA_007","BONA",NA,NA,12,400,3162.78585065989,7.90696462664972,79.0696462664972,37.1627337452537,NA
"68","BONA_009","BONA",NA,NA,13,400,216.452128064907,0.541130320162266,5.41130320162266,2.54331250476265,NA
"69","BONA_011","BONA",NA,NA,14,400,1165.66693167538,2.91416732918846,29.1416732918846,13.6965864471858,NA
"70","BONA_013","BONA",NA,NA,15,400,2835.89927572364,7.08974818930911,70.8974818930911,33.3218164897528,NA
"71","BONA_014","BONA",NA,NA,16,400,2417.42648218851,6.04356620547128,60.4356620547128,28.404761165715,NA
"72","BONA_016","BONA",NA,NA,17,400,465.767603019382,1.16441900754845,11.6441900754845,5.47276933547774,NA
"73","BONA_018","BONA",NA,NA,18,400,958.906243260725,2.39726560815181,23.9726560815181,11.2671483583135,NA
"74","BONA_023","BONA",NA,NA,19,400,12.0336007965417,0.0300840019913543,0.300840019913543,0.141394809359365,NA
"75","BONA_026","BONA",NA,NA,20,400,2383.35547863246,5.95838869658114,59.5838869658114,28.0044268739314,NA
"76","BONA_085","BONA",NA,NA,21,800,1147.50912161351,1.43438640201688,14.3438640201688,6.74161608947934,NA
"77","HEAL_016","HEAL",NA,NA,22,400,6.18538204406823,0.0154634551101706,0.154634551101706,0.0726782390178017,NA
"78","HEAL_023","HEAL",NA,NA,23,400,109.706547450662,0.274266368626654,2.74266368626654,1.28905193254528,NA
"79","HEAL_026","HEAL",NA,NA,24,400,645.188986745767,1.61297246686442,16.1297246686442,7.58097059426277,NA
"80","DEJU_046",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4814195220271
"81","DEJU_047",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5342711632594
"82","DEJU_048",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66887680382338
"83","DEJU_049",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88031708897207
"84","DEJU_050",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.83291606680104
"85","DEJU_051",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5804790526922
"86","DEJU_053",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5323957364608
"87","DEJU_054",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.188178807947
"88","DEJU_055",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9970407428736
"89","DEJU_058",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6734372300605
"90","DEJU_059",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.39216239562338
"91","DEJU_060",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7856019908683
"92","DEJU_061",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89799452922545
"93","DEJU_062",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0109954341656
"94","DEJU_064",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66137237258854
