"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"1",1,1,"DSNY_001-M-10.5-6.5-20180822","2018-08-22 22:26:00","DSNY_001-M-10.5-6.5",0.042,0.506,0.549,0.004,-0.007,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,196542,1965420000,1965.42,1.96542
"2",2,2,"DSNY_001-M-18-38.5-20181023","2018-10-23 12:06:00","DSNY_001-M-18-38.5",0.15,0.104,0.254,0.002,0.001,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,90932,909320000,909.32,0.90932
"3",3,3,"DSNY_001-M-21-20231031","2023-10-31 15:34:00","DSNY_001-M-21-wetDryTransition-2023",0.419,0.062,0.481,-0.002,0.001,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,172198,1721980000,1721.98,1.72198
"4",4,4,"DSNY_001-M-21-36-20180822","2018-08-22 23:12:00","DSNY_001-M-21-36",0.079,0.499,0.578,-0.001,-0.008,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,206924,2069240000,2069.24,2.06924
"5",5,5,"DSNY_001-M-23-20230313","2023-03-13 17:25:00","DSNY_001-M-23-dryWetTransition-2023",0.179,0,0.179,0,0.001,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,64082,640820000,640.82,0.64082
"6",6,6,"DSNY_001-M-23-20230912","2023-09-12 17:19:00","DSNY_001-M-23-peakGreenness-2023",0.257,0,0.257,-0.009,0.003,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,92006,920060000,920.06,0.92006
"7",7,7,"DSNY_001-M-29-4.5-20180822","2018-08-22 22:58:00","DSNY_001-M-29-4.5",0.154,0.448,0.602,0.017,0.004,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,215516,2155160000,2155.16,2.15516
"8",8,8,"DSNY_001-M-29.5-8-20181023","2018-10-23 11:17:00","DSNY_001-M-29.5-8",0.171,0.053,0.224,0.007,0.01,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,80192,801920000,801.92,0.80192
"9",9,9,"DSNY_001-M-3.5-23.5-20180306","2018-03-06 20:27:00","DSNY_001-M-3.5-23.5",0.379,0,0.379,0.017,0.023,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,135682,1356820000,1356.82,1.35682
"10",10,10,"DSNY_001-M-34-25-20181023","2018-10-23 11:34:00","DSNY_001-M-34-25",0.162,0.061,0.222,0.007,0.001,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,79476,794760000,794.76,0.79476
