"","X.1","X","sampleID","collectDate","incubationPairID","soilAmmoniumNugPerGram","soilNitrateNitriteNugPerGram","soilInorganicNugPerGram","netNminugPerGramPerDay","netNitugPerGramPerDay","siteID","siteID_tosplit","plotID","soilHorizon","BD.plot.mean","BD.site.mean","bulkdensity","sample.area.cm2","sample.volume","g.soil","InorganicN.ugm2","InorganicN.ugHectare","InorganicN.gHectare","InorganicN.kgHectare"
"11",11,11,"DSNY_001-M-35-12.5-20180306","2018-03-06 20:55:00","DSNY_001-M-35-12.5",0.25,0,0.25,0.048,0.038,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,89500,8.95e+08,895,0.895
"12",12,12,"DSNY_001-M-39-20230313","2023-03-13 18:50:00","DSNY_001-M-39-dryWetTransition-2023",0.121,0,0.121,0.003,0.001,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,43318,433180000,433.18,0.43318
"13",13,13,"DSNY_001-M-39-20230912","2023-09-12 18:08:00","DSNY_001-M-39-peakGreenness-2023",0,0.066,0.066,0.012,-0.002,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,23628,236280000,236.28,0.23628
"14",14,14,"DSNY_001-M-39-20231031","2023-10-31 15:54:00","DSNY_001-M-39-wetDryTransition-2023",0.325,0.031,0.356,0.002,-0.002,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,127448,1274480000,1274.48,1.27448
"15",15,15,"DSNY_001-M-39.5-26-20180306","2018-03-06 21:19:00","DSNY_001-M-39.5-26",0.218,0,0.218,0.032,0.018,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,78044,780440000,780.44,0.78044
"16",16,16,"DSNY_001-M-41-20230313","2023-03-13 18:45:00","DSNY_001-M-41-dryWetTransition-2023",0.423,0.027,0.449,-0.001,0,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,160742,1607420000,1607.42,1.60742
"17",17,17,"DSNY_001-M-41-20230912","2023-09-12 17:42:00","DSNY_001-M-41-peakGreenness-2023",0.219,0,0.219,0.007,0.002,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,78402,784020000,784.02,0.78402
"18",18,18,"DSNY_001-M-41-20231031","2023-10-31 16:18:00","DSNY_001-M-41-wetDryTransition-2023",0.365,0.051,0.416,0.01,-0.002,"DSNY","DSNY_001-M","DSNY_001","M",1.19333333333333,1.102,1.19333333333333,10000,3e+05,358000,148928,1489280000,1489.28,1.48928
"19",19,19,"DSNY_003-M-20-7.5-20180822","2018-08-22 23:36:00","DSNY_003-M-20-7.5",0.438,0.459,0.897,-0.003,-0.007,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,296548.2,2965482000,2965.482,2.965482
"20",20,20,"DSNY_003-M-21-20230314","2023-03-14 12:23:00","DSNY_003-M-21-dryWetTransition-2023",0.049,0,0.049,0.006,0,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,16199.4,161994000,161.994,0.161994
"21",21,21,"DSNY_003-M-21-20230913","2023-09-13 13:31:00","DSNY_003-M-21-peakGreenness-2023",0,0.228,0.228,-0.007,-0.015,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,75376.8,753768000,753.768,0.753768
"22",22,22,"DSNY_003-M-21-20231031","2023-10-31 17:40:00","DSNY_003-M-21-wetDryTransition-2023",0.149,0.076,0.226,-0.009,-0.005,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,74715.6,747156000,747.156,0.747156
"23",23,23,"DSNY_003-M-21-33-20180307","2018-03-07 22:34:00","DSNY_003-M-21-33",0.292,0,0.292,0.026,0.012,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,96535.2,965352000,965.352,0.965352
"24",24,24,"DSNY_003-M-21.5-0-20181022","2018-10-22 20:03:00","DSNY_003-M-21.5-0",0.191,0.23,0.421,0.083,-0.003,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,139182.6,1391826000,1391.826,1.391826
"25",25,25,"DSNY_003-M-23-20230314","2023-03-14 13:00:00","DSNY_003-M-23-dryWetTransition-2023",0.127,0.182,0.31,0.002,-0.005,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,102486,1024860000,1024.86,1.02486
"26",26,26,"DSNY_003-M-23-20230913","2023-09-13 13:54:00","DSNY_003-M-23-peakGreenness-2023",0.03,0.015,0.046,0.002,0.001,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,15207.6,152076000,152.076,0.152076
"27",27,27,"DSNY_003-M-23-20231031","2023-10-31 18:26:00","DSNY_003-M-23-wetDryTransition-2023",0.354,0.116,0.469,-0.018,-0.008,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,155051.4,1550514000,1550.514,1.550514
"28",28,28,"DSNY_003-M-26-36.5-20180822","2018-08-23 00:13:00","DSNY_003-M-26-36.5",0.274,0.244,0.519,0.052,0.02,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,171581.4,1715814000,1715.814,1.715814
"29",29,29,"DSNY_003-M-3.5-8.5-20180307","2018-03-07 23:11:00","DSNY_003-M-3.5-8.5",0.246,0.411,0.657,0.007,-0.006,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,217204.2,2172042000,2172.042,2.172042
"30",30,30,"DSNY_003-M-31-36-20181022","2018-10-22 19:46:00","DSNY_003-M-31-36",0.381,0.163,0.544,-0.019,-0.006,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,179846.4,1798464000,1798.464,1.798464
"31",31,31,"DSNY_003-M-39-20231031","2023-10-31 17:58:00","DSNY_003-M-39-wetDryTransition-2023",0.281,0.115,0.396,0.019,-0.008,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,130917.6,1309176000,1309.176,1.309176
"32",32,32,"DSNY_003-M-41-20230314","2023-03-14 13:28:00","DSNY_003-M-41-dryWetTransition-2023",0.304,0,0.304,0,0.002,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,100502.4,1005024000,1005.024,1.005024
"33",33,33,"DSNY_003-M-41-20230913","2023-09-13 14:26:00","DSNY_003-M-41-peakGreenness-2023",0.33,0.015,0.345,0.006,0.003,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,114057,1140570000,1140.57,1.14057
"34",34,34,"DSNY_003-M-7.5-12-20181022","2018-10-22 20:20:00","DSNY_003-M-7.5-12",0.169,0.163,0.332,0.066,0.003,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,109759.2,1097592000,1097.592,1.097592
"35",35,35,"DSNY_003-M-9-20-20180307","2018-03-07 22:54:00","DSNY_003-M-9-20",0.151,0.141,0.292,0.03,0.018,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,96535.2,965352000,965.352,0.965352
"36",36,36,"DSNY_003-M-9.5-34-20180823","2018-08-23 13:38:00","DSNY_003-M-9.5-34",0.554,0.775,1.329,0.024,-0.002,"DSNY","DSNY_003-M","DSNY_003","M",NA,1.102,1.102,10000,3e+05,330600,439367.4,4393674000,4393.674,4.393674
"37",37,37,"DSNY_004-M-0.5-25.5-20180306","2018-03-06 17:15:00","DSNY_004-M-0.5-25.5",0.175,0.183,0.358,0.022,0.002,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,106326,1063260000,1063.26,1.06326
"38",38,38,"DSNY_004-M-1-3-20180306","2018-03-06 16:50:00","DSNY_004-M-1-3",0.274,0.174,0.449,0.013,0.005,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,133353,1333530000,1333.53,1.33353
"39",39,39,"DSNY_004-M-11-1.5-20180820","2018-08-20 21:11:00","DSNY_004-M-11-1.5",0.667,0.493,1.16,0.001,-0.008,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,344520,3445200000,3445.2,3.4452
"40",40,40,"DSNY_004-M-21-20230313","2023-03-13 21:55:00","DSNY_004-M-21-dryWetTransition-2023",0.171,0,0.171,NA,NA,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,50787,507870000,507.87,0.50787
"41",41,41,"DSNY_004-M-21-20230912","2023-09-12 18:04:00","DSNY_004-M-21-peakGreenness-2023",0.093,0.152,0.244,-0.007,-0.01,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,72468,724680000,724.68,0.72468
"42",42,42,"DSNY_004-M-21-20231031","2023-10-31 14:53:00","DSNY_004-M-21-wetDryTransition-2023",0.136,0.23,0.366,-0.003,-0.001,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,108702,1087020000,1087.02,1.08702
"43",43,43,"DSNY_004-M-23-20230313","2023-03-13 21:23:00","DSNY_004-M-23-dryWetTransition-2023",0.096,0,0.096,0.005,0.003,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,28512,285120000,285.12,0.28512
"44",44,44,"DSNY_004-M-23-20231031","2023-10-31 15:27:00","DSNY_004-M-23-wetDryTransition-2023",0.077,0.058,0.135,-0.001,-0.002,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,40095,400950000,400.95,0.40095
"45",45,45,"DSNY_004-M-23-39.5-20181022","2018-10-22 12:28:00","DSNY_004-M-23-39.5",0.26,0.16,0.42,0.206,0.005,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,124740,1247400000,1247.4,1.2474
"46",46,46,"DSNY_004-M-36.5-24.5-20180306","2018-03-06 17:59:00","DSNY_004-M-36.5-24.5",0.196,0.172,0.368,0.021,0.004,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,109296,1092960000,1092.96,1.09296
"47",47,47,"DSNY_004-M-38-6-20180820","2018-08-20 21:36:00","DSNY_004-M-38-6",0.217,0.741,0.959,-0.024,-0.023,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,284823,2848230000,2848.23,2.84823
"48",48,48,"DSNY_004-M-38-7.5-20181022","2018-10-22 11:56:00","DSNY_004-M-38-7.5",0.214,0.002,0.215,0.001,0.001,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,63855,638550000,638.55,0.63855
"49",49,49,"DSNY_004-M-39-20230912","2023-09-12 19:17:00","DSNY_004-M-39-peakGreenness-2023",0.038,0.14,0.178,0.07,-0.004,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,52866,528660000,528.66,0.52866
"50",50,50,"DSNY_004-M-39-20231031","2023-10-31 15:55:00","DSNY_004-M-39-wetDryTransition-2023",0.152,0.263,0.415,-0.01,-0.004,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,123255,1232550000,1232.55,1.23255
"51",51,51,"DSNY_004-M-41-20230313","2023-03-13 20:56:00","DSNY_004-M-41-dryWetTransition-2023",0.015,0,0.015,0.004,0.002,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,4455,44550000,44.55,0.04455
"52",52,52,"DSNY_004-M-41-20230912","2023-09-12 18:39:00","DSNY_004-M-41-peakGreenness-2023",0.031,0,0.031,0.004,0.004,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,9207,92070000,92.07,0.09207
"53",53,53,"DSNY_004-M-6.5-28.5-20181022","2018-10-22 22:44:00","DSNY_004-M-6.5-28.5",0.523,0.308,0.83,-0.016,-0.008,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,246510,2465100000,2465.1,2.4651
"54",54,54,"DSNY_004-M-9.5-25-20180820","2018-08-20 20:40:00","DSNY_004-M-9.5-25",0.153,0.417,0.57,0.01,-0.004,"DSNY","DSNY_004-M","DSNY_004","M",0.99,1.102,0.99,10000,3e+05,297000,169290,1692900000,1692.9,1.6929
"55",55,55,"DSNY_005-M-0.5-16.5-20180820","2018-08-20 18:18:00","DSNY_005-M-0.5-16.5",0.102,0.485,0.586,0.027,0.008,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,192061.5,1920615000,1920.615,1.920615
"56",56,56,"DSNY_005-M-1-3-20180306","2018-03-06 13:57:00","DSNY_005-M-1-3",0.188,0.175,0.363,0.021,0.013,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,118973.25,1189732500,1189.7325,1.1897325
"57",57,57,"DSNY_005-M-21-20230315","2023-03-15 16:01:00","DSNY_005-M-21-dryWetTransition-2023",0.014,0.043,0.057,0.059,0.044,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,18681.75,186817500,186.8175,0.1868175
"58",58,58,"DSNY_005-M-21-20230912","2023-09-12 20:55:00","DSNY_005-M-21-peakGreenness-2023",0.073,0.092,0.165,-0.004,-0.004,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,54078.75,540787500,540.7875,0.5407875
"59",59,59,"DSNY_005-M-23-20230315","2023-03-15 17:13:00","DSNY_005-M-23-dryWetTransition-2023",0.189,0.062,0.25,0.011,-0.001,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,81937.5,819375000,819.375,0.819375
"60",60,60,"DSNY_005-M-23-20230912","2023-09-12 21:36:00","DSNY_005-M-23-peakGreenness-2023",0,0,0,0,0,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,0,0,0,0
"61",61,61,"DSNY_005-M-23-20231031","2023-10-31 18:39:00","DSNY_005-M-23-wetDryTransition-2023",0.124,0.138,0.262,-0.006,-0.004,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,85870.5,858705000,858.705,0.858705
"62",62,62,"DSNY_005-M-31-7.5-20180306","2018-03-06 14:47:00","DSNY_005-M-31-7.5",0.216,0.193,0.409,0.024,0.016,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,134049.75,1340497500,1340.4975,1.3404975
"63",63,63,"DSNY_005-M-33-26.5-20181022","2018-10-22 22:13:00","DSNY_005-M-33-26.5",0.127,0.154,0.281,0.018,-0.002,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,92097.75,920977500,920.9775,0.9209775
"64",64,64,"DSNY_005-M-33.5-5-20181022","2018-10-22 21:32:00","DSNY_005-M-33.5-5",0.106,0.144,0.249,0.004,0,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,81609.75,816097500,816.0975,0.8160975
"65",65,65,"DSNY_005-M-37-14-20180820","2018-08-20 19:04:00","DSNY_005-M-37-14",0,0.31,0.31,0.026,0.025,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,101602.5,1016025000,1016.025,1.016025
"66",66,66,"DSNY_005-M-38.5-23-20180820","2018-08-20 18:44:00","DSNY_005-M-38.5-23",0.417,0.504,0.921,0.017,0.004,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,301857.75,3018577500,3018.5775,3.0185775
"67",67,67,"DSNY_005-M-39-20230315","2023-03-15 16:41:00","DSNY_005-M-39-dryWetTransition-2023",0.081,0.033,0.114,0,0,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,37363.5,373635000,373.635,0.373635
"68",68,68,"DSNY_005-M-39-20230912","2023-09-12 21:19:00","DSNY_005-M-39-peakGreenness-2023",0.004,0,0.004,0.006,0.006,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,1311,13110000,13.11,0.01311
"69",69,69,"DSNY_005-M-39-20231031","2023-10-31 19:26:00","DSNY_005-M-39-wetDryTransition-2023",0.092,0.064,0.155,0.019,0.001,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,50801.25,508012500,508.0125,0.5080125
"70",70,70,"DSNY_005-M-4-30-20181022","2018-10-22 22:23:00","DSNY_005-M-4-30",0.051,0.001,0.052,0.009,0.005,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,17043,170430000,170.43,0.17043
"71",71,71,"DSNY_005-M-41-20231031","2023-10-31 19:00:00","DSNY_005-M-41-wetDryTransition-2023",0.118,0.155,0.273,-0.008,-0.007,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,89475.75,894757500,894.7575,0.8947575
"72",72,72,"DSNY_005-M-9-32-20180306","2018-03-06 14:55:00","DSNY_005-M-9-32",0.215,0.222,0.437,0.012,0.005,"DSNY","DSNY_005-M","DSNY_005","M",1.0925,1.102,1.0925,10000,3e+05,327750,143226.75,1432267500,1432.2675,1.4322675
"73",73,73,"DSNY_006-M-14-38.5-20180823","2018-08-23 11:24:00","DSNY_006-M-14-38.5",0.175,0.464,0.639,-0.009,0,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,226206,2262060000,2262.06,2.26206
"74",74,74,"DSNY_006-M-21-20230315","2023-03-15 16:22:00","DSNY_006-M-21-dryWetTransition-2023",0.099,0.063,0.162,0.001,-0.001,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,57348,573480000,573.48,0.57348
"75",75,75,"DSNY_006-M-21-20230912","2023-09-12 16:50:00","DSNY_006-M-21-peakGreenness-2023",0.136,0,0.136,0,0.007,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,48144,481440000,481.44,0.48144
"76",76,76,"DSNY_006-M-22-36-20181022","2018-10-22 21:05:00","DSNY_006-M-22-36",0.169,0.123,0.291,0.034,0.011,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,103014,1030140000,1030.14,1.03014
"77",77,77,"DSNY_006-M-23-20230315","2023-03-15 15:48:00","DSNY_006-M-23-dryWetTransition-2023",0.056,0.053,0.109,-0.005,-0.003,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,38586,385860000,385.86,0.38586
"78",78,78,"DSNY_006-M-23-20230912","2023-09-12 16:24:00","DSNY_006-M-23-peakGreenness-2023",0.144,0.011,0.155,0.027,0.008,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,54870,548700000,548.7,0.5487
"79",79,79,"DSNY_006-M-23-20231031","2023-10-31 17:39:00","DSNY_006-M-23-wetDryTransition-2023",0.241,0.163,0.403,0.028,0,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,142662,1426620000,1426.62,1.42662
"80",80,80,"DSNY_006-M-28-35.5-20180823","2018-08-23 11:07:00","DSNY_006-M-28-35.5",0.196,0.396,0.593,0.008,0.003,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,209922,2099220000,2099.22,2.09922
"81",81,81,"DSNY_006-M-34-17.5-20181022","2018-10-22 21:31:00","DSNY_006-M-34-17.5",0.17,0.368,0.538,0.004,-0.005,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,190452,1904520000,1904.52,1.90452
"82",82,82,"DSNY_006-M-39-20231031","2023-10-31 16:57:00","DSNY_006-M-39-wetDryTransition-2023",0.344,0.102,0.447,0.031,0.009,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,158238,1582380000,1582.38,1.58238
"83",83,83,"DSNY_006-M-4-24.5-20181022","2018-10-22 20:38:00","DSNY_006-M-4-24.5",0.12,0.124,0.244,0.007,0.004,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,86376,863760000,863.76,0.86376
"84",84,84,"DSNY_006-M-41-20230315","2023-03-15 15:06:00","DSNY_006-M-41-dryWetTransition-2023",0.087,0.021,0.107,0.018,0.017,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,37878,378780000,378.78,0.37878
"85",85,85,"DSNY_006-M-41-20230912","2023-09-12 15:59:00","DSNY_006-M-41-peakGreenness-2023",0.111,0.021,0.133,-0.002,0.006,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,47082,470820000,470.82,0.47082
"86",86,86,"DSNY_006-M-41-20231031","2023-10-31 17:17:00","DSNY_006-M-41-wetDryTransition-2023",0.1,0.113,0.213,0.003,-0.008,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,75402,754020000,754.02,0.75402
"87",87,87,"DSNY_006-M-8.5-16.5-20180823","2018-08-23 11:37:00","DSNY_006-M-8.5-16.5",0.065,0.352,0.417,0.011,0.013,"DSNY","DSNY_006-M","DSNY_006","M",1.18,1.102,1.18,10000,3e+05,354000,147618,1476180000,1476.18,1.47618
"88",88,88,"DSNY_009-M-0.5-39-20180307","2018-03-07 20:53:00","DSNY_009-M-0.5-39",0.198,0.276,0.474,0.003,-0.008,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,135090,1350900000,1350.9,1.3509
"89",89,89,"DSNY_009-M-1-13-20180307","2018-03-07 19:59:00","DSNY_009-M-1-13",0.64,0.161,0.801,0.039,0.003,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,228285,2282850000,2282.85,2.28285
"90",90,90,"DSNY_009-M-10-34.5-20181022","2018-10-22 21:10:00","DSNY_009-M-10-34.5",0.25,0.12,0.37,0.001,0,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,105450,1054500000,1054.5,1.0545
"91",91,91,"DSNY_009-M-19-6.5-20180823","2018-08-23 11:39:00","DSNY_009-M-19-6.5",0.191,0.523,0.714,0.647,-0.008,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,203490,2034900000,2034.9,2.0349
"92",92,92,"DSNY_009-M-21-20230313","2023-03-13 20:49:00","DSNY_009-M-21-dryWetTransition-2023",0.422,0.073,0.496,0.119,0.01,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,141360,1413600000,1413.6,1.4136
"93",93,93,"DSNY_009-M-21-20231031","2023-10-31 19:12:00","DSNY_009-M-21-wetDryTransition-2023",1.295,0.734,2.029,0.255,0.134,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,578265,5782650000,5782.65,5.78265
"94",94,94,"DSNY_009-M-23-20230913","2023-09-13 11:42:00","DSNY_009-M-23-peakGreenness-2023",1.323,0.059,1.382,1.301,0.013,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,393870,3938700000,3938.7,3.9387
"95",95,95,"DSNY_009-M-25.5-35.5-20181022","2018-10-22 21:25:00","DSNY_009-M-25.5-35.5",0.348,0.122,0.47,-0.001,0.007,"DSNY","DSNY_009-M","DSNY_009","M",0.95,1.102,0.95,10000,3e+05,285000,133950,1339500000,1339.5,1.3395
